school,conf,rk,w,l,wl,ap_pre,ap_high,ap_final,ncaa_numeric,season,coaches,year
grambling,SWAC,17,8,18,0.9516325807282348,30,30,30,0,2000-01,Larry Wright (8-18),2000
grambling,SWAC,18,1,30,0.4624886693991249,30,30,30,0,1999-00,Larry Wright (1-30),1999
grambling,SWAC,19,6,21,0.5720863863860731,30,30,30,0,1998-99,Larry Reynolds (6-21),1998
grambling,SWAC,20,16,12,0.5091598532180318,30,30,30,0,1997-98,Larry Reynolds (16-12),1997
grambling,SWAC,21,10,17,0.2482315394392247,30,30,30,0,1996-97,Larry Reynolds (10-17),1996
grambling,SWAC,22,12,16,0.9262979434491405,30,30,30,0,1995-96,Larry Reynolds (12-16),1995
grambling,SWAC,23,11,17,0.8408569410471167,30,30,30,0,1994-95,Aaron James (11-17),1994
grambling,SWAC,24,9,18,0.8473554014573336,30,30,30,0,1993-94,Aaron James (9-18),1993
grambling,SWAC,25,13,14,0.9441294691312196,30,30,30,0,1992-93,Aaron James (13-14),1992
grambling,SWAC,26,4,24,0.8340658585998769,30,30,30,0,1991-92,Aaron James (4-24),1991
grambling,SWAC,27,6,22,0.2252318207682732,30,30,30,0,1990-91,Aaron James (6-22),1990
grambling,SWAC,28,9,19,0.7156666585558336,30,30,30,0,1989-90,Aaron James (9-19),1989
grambling,SWAC,29,15,14,0.7226480239607175,30,30,30,0,1988-89,Robert Hopkins (15-14),1988
grambling,SWAC,30,13,17,0.3864404445212809,30,30,30,0,1987-88,Robert Hopkins (13-17),1987
grambling,SWAC,31,16,14,0.21461640283354433,30,30,30,0,1986-87,Robert Hopkins (16-14),1986
grambling,SWAC,32,14,12,0.9900806284272416,30,30,30,0,1985-86,Fred Hobdy (14-12),1985
grambling,SWAC,33,8,19,0.7502654465681144,30,30,30,0,1984-85,Fred Hobdy (8-19),1984
grambling,SWAC,34,17,12,0.048277335340915606,30,30,30,0,1983-84,Fred Hobdy (17-12),1983
grambling,SWAC,35,6,22,0.46743549067361967,30,30,30,0,1982-83,Fred Hobdy (6-22),1982
grambling,SWAC,36,12,17,0.7654493553155587,30,30,30,0,1981-82,Fred Hobdy (12-17),1981
grambling,SWAC,37,18,11,0.42121907600800335,30,30,30,0,1980-81,Fred Hobdy (18-11),1980
grambling,SWAC,38,22,8,0.03905919200865038,30,30,30,0,1979-80,Fred Hobdy (22-8),1979
grambling,SWAC,39,16,11,0.20545316929616797,30,30,30,0,1978-79,Fred Hobdy (16-11),1978
grambling,SWAC,40,10,14,0.6571008767997035,30,30,30,0,1977-78,Fred Hobdy (10-14),1977
green-bay,Horizon,1,18,13,0.44346017378348923,30,30,30,0,2016-17,Linc Darner (18-13),2016
green-bay,Horizon,2,23,13,0.45101273974023925,30,30,30,1,2015-16,Linc Darner (23-13),2015
green-bay,Horizon,3,24,9,0.1957680414254036,30,30,30,0,2014-15,Brian Wardle (24-9),2014
green-bay,Horizon,4,24,7,0.749512090099328,30,30,30,0,2013-14,Brian Wardle (24-7),2013
green-bay,Horizon,5,18,16,0.730211899491789,30,30,30,0,2012-13,Brian Wardle (18-16),2012
green-bay,Horizon,6,15,15,0.1289871042031958,30,30,30,0,2011-12,Brian Wardle (15-15),2011
green-bay,Horizon,7,14,18,0.4585555730270454,30,30,30,0,2010-11,Brian Wardle (14-18),2010
green-bay,Horizon,8,22,13,0.7825020417569214,30,30,30,0,2009-10,Tod Kowalczyk (22-13),2009
green-bay,Horizon,9,22,11,0.1257600798436429,30,30,30,0,2008-09,Tod Kowalczyk (22-11),2008
green-bay,Horizon,10,15,15,0.03830036438862272,30,30,30,0,2007-08,Tod Kowalczyk (15-15),2007
green-bay,Horizon,11,18,15,0.06940907924321316,30,30,30,0,2006-07,Tod Kowalczyk (18-15),2006
green-bay,Horizon,12,15,16,0.9710496271247838,30,30,30,0,2005-06,Tod Kowalczyk (15-16),2005
green-bay,Horizon,13,17,11,0.544608015063232,30,30,30,0,2004-05,Tod Kowalczyk (17-11),2004
green-bay,Horizon,14,17,11,0.6856487738294917,30,30,30,0,2003-04,Tod Kowalczyk (17-11),2003
green-bay,Horizon,15,10,20,0.17354584863996403,30,30,30,0,2002-03,Tod Kowalczyk (10-20),2002
green-bay,Horizon,16,9,21,0.3717963102077747,30,30,30,0,2001-02,Mike Heideman (9-21),2001
green-bay,MW Coll,17,11,17,0.41567722844809163,30,30,30,0,2000-01,Mike Heideman (11-17),2000
green-bay,MW Coll,18,14,16,0.2471235137375417,30,30,30,0,1999-00,Mike Heideman (14-16),1999
green-bay,MW Coll,19,20,11,0.8172352988055389,30,30,30,0,1998-99,Mike Heideman (20-11),1998
green-bay,MW Coll,20,17,12,0.36240965238750955,30,30,30,0,1997-98,Mike Heideman (17-12),1997
green-bay,MW Coll,21,14,14,0.42242814523192385,30,30,30,0,1996-97,Mike Heideman (14-14),1996
green-bay,MW Coll,22,25,4,0.902077120670395,30,22,30,1,1995-96,Mike Heideman (25-4),1995
green-bay,MW Coll,23,22,8,0.48327025542760205,30,30,30,1,1994-95,Dick Bennett (22-8),1994
green-bay,Mid-Cont,24,27,7,0.34019326946556416,30,30,30,2,1993-94,Dick Bennett (27-7),1993
green-bay,Mid-Cont,25,13,14,0.917217925153864,30,30,30,0,1992-93,Dick Bennett (13-14),1992
green-bay,Mid-Cont,26,25,5,0.2561333268778784,30,30,30,0,1991-92,Dick Bennett (25-5),1991
green-bay,Mid-Cont,27,24,7,0.8729366802659452,30,30,30,1,1990-91,Dick Bennett (24-7),1990
green-bay,Mid-Cont,28,24,8,0.4948470710088022,30,30,30,0,1989-90,Dick Bennett (24-8),1989
green-bay,Mid-Cont,29,14,14,0.03160460020477218,30,30,30,0,1988-89,Dick Bennett (14-14),1988
green-bay,Mid-Cont,30,18,9,0.6105572881838067,30,30,30,0,1987-88,Dick Bennett (18-9),1987
green-bay,Mid-Cont,31,15,14,0.8096906637782507,30,30,30,0,1986-87,Dick Bennett (15-14),1986
green-bay,Mid-Cont,32,5,23,0.4518358025210456,30,30,30,0,1985-86,Dick Bennett (5-23),1985
green-bay,Mid-Cont,33,4,24,0.7791405749232496,30,30,30,0,1984-85,Dick Lien (4-24),1984
green-bay,Mid-Cont,34,9,19,0.47838571929533247,30,30,30,0,1983-84,Dick Lien (9-19),1983
green-bay,Mid-Cont,35,9,19,0.7686957886387977,30,30,30,0,1982-83,Dick Lien (9-19),1982
green-bay,Ind,36,14,13,0.681557169098965,30,30,30,0,1981-82,Dave Buss (14-13),1981
grinnell,MVC,1,14,7,0.9190328697930562,30,30,30,0,1938-39,Unknown,1938
grinnell,MVC,2,10,9,0.5049053810321883,30,30,30,0,1937-38,Unknown,1937
grinnell,MVC,3,8,10,0.18881048310227766,30,30,30,0,1936-37,Unknown,1936
grinnell,MVC,4,7,11,0.9649094544271551,30,30,30,0,1935-36,Unknown,1935
grinnell,MVC,5,11,8,0.8986897984357697,30,30,30,0,1934-35,Unknown,1934
grinnell,MVC,6,8,7,0.6707927332936306,30,30,30,0,1933-34,Unknown,1933
grinnell,MVC,7,5,11,0.39159241060059335,30,30,30,0,1932-33,Unknown,1932
grinnell,MVC,8,8,8,0.31559815560867,30,30,30,0,1931-32,Unknown,1931
grinnell,MVC,9,7,8,0.0183212969262444,30,30,30,0,1930-31,Unknown,1930
grinnell,MVC,10,6,9,0.007622547902313981,30,30,30,0,1929-30,Unknown,1929
grinnell,MVC,11,6,11,0.10646197961277082,30,30,30,0,1928-29,Unknown,1928
grinnell,MVC,12,6,13,0.00032238926378602706,30,30,30,0,1927-28,Unknown,1927
grinnell,MVC,13,2,15,0.5556934699100057,30,30,30,0,1926-27,Unknown,1926
grinnell,MVC,14,1,14,0.03522472674950716,30,30,30,0,1925-26,Unknown,1925
grinnell,MVC,15,4,13,0.4072500359536738,30,30,30,0,1924-25,Unknown,1924
grinnell,MVC,16,4,14,0.2362137788073604,30,30,30,0,1923-24,Unknown,1923
grinnell,MVC,17,3,13,0.7409728882809453,30,30,30,0,1922-23,Unknown,1922
grinnell,MVC,18,5,14,0.7815656008736126,30,30,30,0,1921-22,Unknown,1921
grinnell,MVC,19,6,12,0.5221749643298413,30,30,30,0,1920-21,Unknown,1920
grinnell,MVC,20,4,10,0.36805783766789324,30,30,30,0,1919-20,Unknown,1919
grinnell,MVC,21,6,5,0.05192861703822749,30,30,30,0,1918-19,Unknown,1918
grinnell,Ind,22,7,4,0.9210943199253311,30,30,30,0,1917-18,Unknown,1917
grinnell,Ind,23,9,4,0.45047002457717067,30,30,30,0,1916-17,Unknown,1916
grinnell,Ind,24,6,6,0.33952847993355595,30,30,30,0,1915-16,Unknown,1915
grinnell,Ind,25,10,4,0.02679616492896275,30,30,30,0,1914-15,Unknown,1914
grinnell,Ind,26,10,1,0.9193783682743639,30,30,30,0,1913-14,Unknown,1913
grinnell,Ind,27,11,0,0.026631716549070372,30,30,30,0,1912-13,Unknown,1912
grinnell,Ind,28,13,1,0.8385342608019312,30,30,30,0,1910-11,Unknown,1910
grinnell,Ind,29,12,1,0.5030161877169124,30,30,30,0,1909-10,Unknown,1909
grinnell,Ind,30,12,1,0.3343384654337408,30,30,30,0,1908-09,Unknown,1908
grinnell,Ind,31,14,3,0.5834891805749518,30,30,30,0,1907-08,Unknown,1907
grinnell,Ind,32,9,2,0.2576116878852597,30,30,30,0,1906-07,Unknown,1906
grinnell,Ind,33,8,4,0.8609219884998924,30,30,30,0,1905-06,Unknown,1905
grinnell,Ind,34,8,3,0.9375513175507221,30,30,30,0,1904-05,Unknown,1904
grinnell,Ind,35,7,4,0.2225599861000418,30,30,30,0,1903-04,Unknown,1903
grinnell,Ind,36,7,5,0.8826739202661452,30,30,30,0,1902-03,Unknown,1902
grinnell,Ind,37,2,2,0.38228587134282455,30,30,30,0,1901-02,Unknown,1901
grinnell,Ind,38,4,3,0.6383775515569536,30,30,30,0,1900-01,Unknown,1900
grove-city,Ind,1,16,2,0.6478248177265605,30,30,30,0,1924-25,Bob Thorn (16-2),1924
grove-city,Ind,2,15,6,0.14614140695592603,30,30,30,0,1923-24,Bob Thorn (15-6),1923
grove-city,Ind,3,19,4,0.9057432540892237,30,30,30,0,1922-23,Bob Thorn (19-4),1922
grove-city,Ind,4,16,4,0.0366432737124186,30,30,30,0,1921-22,Bob Thorn (16-4),1921
grove-city,Ind,5,16,1,0.5753693438783298,30,30,30,0,1920-21,Bob Thorn (16-1),1920
grove-city,Ind,6,13,7,0.0961423626506338,30,30,30,0,1919-20,Howard Acher (13-7),1919
grove-city,Ind,7,3,9,0.42687415333345213,30,30,30,0,1918-19,Howard Acher (3-9),1918
grove-city,Ind,8,2,7,0.24866492646314975,30,30,30,0,1917-18,Harold White (2-7),1917
grove-city,Ind,9,5,6,0.23366116863979491,30,30,30,0,1916-17,Howard Acher (5-6),1916
grove-city,Ind,10,9,7,0.5658886821233798,30,30,30,0,1915-16,Howard Acher (9-7),1915
grove-city,Ind,11,13,6,0.8380993758353943,30,30,30,0,1914-15,William Young (13-6),1914
grove-city,Ind,12,11,7,0.7118097222107445,30,30,30,0,1913-14,William Young (11-7),1913
grove-city,Ind,13,9,4,0.5961887101829475,30,30,30,0,1912-13,Weir Ketler (9-4),1912
grove-city,Ind,14,12,0,0.33972558894584526,30,30,30,0,1911-12,Weir Ketler (12-0),1911
grove-city,Ind,15,11,3,0.15849723635270518,30,30,30,0,1910-11,Weir Ketler (11-3),1910
grove-city,Ind,16,7,5,0.1358627608794054,30,30,30,0,1909-10,Frank Hays (7-5),1909
grove-city,Ind,17,9,6,0.37012825586702736,30,30,30,0,1908-09,Fred Locke (9-6),1908
grove-city,Ind,18,9,6,0.6990547495195062,30,30,30,0,1907-08,Frank Hays (9-6),1907
grove-city,Ind,19,6,5,0.9242643167343902,30,30,30,0,1906-07,William Brown (6-5),1906
grove-city,Ind,20,3,5,0.6271513091422748,30,30,30,0,1905-06,Frank Hays (3-5),1905
grove-city,Ind,21,15,4,0.3778956755382744,30,30,30,0,1904-05,Edward Campbell (15-4),1904
grove-city,Ind,22,9,5,0.43804457376510797,30,30,30,0,1903-04,Edward Campbell (9-5),1903
grove-city,Ind,23,13,1,0.9233992328282248,30,30,30,0,1902-03,Edward Campbell (13-1),1902
grove-city,Ind,24,13,3,0.2848519217232939,30,30,30,0,1901-02,Edward Campbell (13-3),1901
grove-city,Ind,25,2,8,0.8419673907159562,30,30,30,0,1900-01,T.L. Thompson (2-8),1900
grove-city,Ind,26,1,3,0.6169297616013483,30,30,30,0,1899-00,T.L. Thompson (1-3),1899
grove-city,Ind,27,0,2,0.19800565784806234,30,30,30,0,1898-99,Peggy Swope (0-2),1898
hampton,MEAC,1,14,16,0.38852859780017157,30,30,30,0,2016-17,Edward Joyner (14-16),2016
hampton,MEAC,2,21,11,0.8249937751730371,30,30,30,1,2015-16,Edward Joyner (21-11),2015
hampton,MEAC,3,17,18,0.8880038931485924,30,30,30,2,2014-15,Edward Joyner (17-18),2014
hampton,MEAC,4,18,13,0.2155883877050072,30,30,30,0,2013-14,Edward Joyner (18-13),2013
hampton,MEAC,5,14,17,0.15625696419611623,30,30,30,0,2012-13,Edward Joyner (14-17),2012
hampton,MEAC,6,12,21,0.4040680108387945,30,30,30,0,2011-12,Edward Joyner (12-21),2011
hampton,MEAC,7,24,9,0.7114797366589265,30,30,30,2,2010-11,Edward Joyner (24-9),2010
hampton,MEAC,8,14,18,0.6483192736011008,30,30,30,0,2009-10,Edward Joyner (14-18),2009
hampton,MEAC,9,16,16,0.43721264116755887,30,30,30,0,2008-09,Kevin Nickelberry (16-16),2008
hampton,MEAC,10,18,12,0.5063636225770061,30,30,30,0,2007-08,Kevin Nickelberry (18-12),2007
hampton,MEAC,11,15,16,0.05574835277831258,30,30,30,0,2006-07,Kevin Nickelberry (15-16),2006
hampton,MEAC,12,16,16,0.6497527458082474,30,30,30,1,2005-06,Bobby Collins (16-16),2005
hampton,MEAC,13,17,13,0.9779796268654685,30,30,30,0,2004-05,Bobby Collins (17-13),2004
hampton,MEAC,14,13,17,0.21631051928884348,30,30,30,0,2003-04,Bobby Collins (13-17),2003
hampton,MEAC,15,19,11,0.8387548697103897,30,30,30,0,2002-03,Bobby Collins (19-11),2002
hampton,MEAC,16,26,7,0.850731447217168,30,30,30,1,2001-02,Steve Merfeld (26-7),2001
hampton,MEAC,17,25,7,0.7053763370812672,30,30,30,2,2000-01,Steve Merfeld (25-7),2000
hampton,MEAC,18,17,12,0.27376141994929404,30,30,30,0,1999-00,Steve Merfeld (17-12),1999
hampton,MEAC,19,8,19,0.1531092801815115,30,30,30,0,1998-99,Steve Merfeld (8-19),1998
hampton,MEAC,20,14,12,0.5386067257995365,30,30,30,0,1997-98,Steve Merfeld (14-12),1997
hampton,MEAC,21,8,19,0.22773869906243538,30,30,30,0,1996-97,Byron Samuels (8-19),1996
hampton,MEAC,22,9,17,0.20771945729205754,30,30,30,0,1995-96,Byron Samuels (9-17),1995
hardin-simmons,A-Sun,1,9,18,0.8304432987801467,30,30,30,0,1989-90,Dennis Harp (9-18),1989
hardin-simmons,A-Sun,2,8,19,0.2796202793335062,30,30,30,0,1988-89,Dennis Harp (8-19),1988
hardin-simmons,A-Sun,3,18,12,0.2515662575334776,30,30,30,0,1987-88,Dick Danford (18-12),1987
hardin-simmons,A-Sun,4,13,15,0.5926697487000181,30,30,30,0,1986-87,Dick Danford (13-15),1986
hardin-simmons,A-Sun,5,15,13,0.9702037854042233,30,30,30,0,1985-86,Dick Danford (15-13),1985
hardin-simmons,A-Sun,6,11,17,0.5270381595012769,30,30,30,0,1984-85,Dick Danford (11-17),1984
hardin-simmons,A-Sun,7,9,22,0.6456382266177324,30,30,30,0,1983-84,Dick Danford (9-22),1983
hardin-simmons,A-Sun,8,3,25,0.15913513413776326,30,30,30,0,1982-83,Jim Hatfield (3-25),1982
hardin-simmons,A-Sun,9,6,20,0.08462817401262712,30,30,30,0,1981-82,Jim Hatfield (6-20),1981
hardin-simmons,A-Sun,10,9,18,0.17065562269664436,30,30,30,0,1980-81,Jim Shuler (9-18),1980
hardin-simmons,A-Sun,11,5,21,0.09767405284318265,30,30,30,0,1979-80,Jim Shuler (5-21),1979
hardin-simmons,A-Sun,12,7,20,0.7110370232468398,30,30,30,0,1978-79,Jim Shuler (7-20),1978
hardin-simmons,Ind,13,10,16,0.7511299509912543,30,30,30,0,1977-78,Jim Shuler (10-16),1977
hardin-simmons,Ind,14,6,21,0.9237165462320014,30,30,30,0,1976-77,Preston Vice (6-21),1976
hardin-simmons,Ind,15,14,13,0.9997448549280613,30,30,30,0,1975-76,"Preston Vice (12-10), Russell Berry (2-3)",1975
hardin-simmons,Ind,16,5,20,0.9205469374762607,30,30,30,0,1974-75,Russell Berry (5-20),1974
hardin-simmons,Ind,17,11,14,0.40980848447602525,30,30,30,0,1973-74,Russell Berry (11-14),1973
hardin-simmons,Ind,18,16,9,0.9630843440455938,30,30,30,0,1972-73,Russell Berry (16-9),1972
hardin-simmons,Ind,19,14,12,0.1462984042042681,30,30,30,0,1971-72,Glen Whitis (14-12),1971
hardin-simmons,Ind,20,9,16,0.2609589498760265,30,30,30,0,1970-71,Glen Whitis (9-16),1970
hardin-simmons,Ind,21,17,9,0.3234494147190419,30,30,30,0,1969-70,Paul Lambert (17-9),1969
hardin-simmons,Ind,22,13,13,0.5473272304481069,30,30,30,0,1968-69,Paul Lambert (13-13),1968
hardin-simmons,Ind,23,10,16,0.14266902846226703,30,30,30,0,1967-68,Paul Lambert (10-16),1967
hardin-simmons,Ind,24,17,9,0.2403546885885942,30,30,30,0,1966-67,Paul Lambert (17-9),1966
hardin-simmons,Ind,25,20,6,0.15195895317601282,30,30,30,0,1965-66,Lou Henson (20-6),1965
hardin-simmons,Ind,26,17,8,0.003560355546161076,30,30,30,0,1964-65,Lou Henson (17-8),1964
hardin-simmons,Ind,27,20,6,0.32814222043404717,30,30,30,0,1963-64-nm,Lou Henson (20-6),1963
hardin-simmons,Ind,28,10,16,0.67683467346226,30,30,30,0,1962-63,Lou Henson (10-16),1962
hardin-simmons,BIAA,29,8,17,0.13184932030046015,30,30,30,0,1961-62,Bill Scott (8-17),1961
hardin-simmons,BIAA,30,12,14,0.45526083401615025,30,30,30,0,1960-61,Bill Scott (12-14),1960
hardin-simmons,BIAA,31,8,18,0.005812425561470103,30,30,30,0,1959-60,Bill Scott (8-18),1959
hardin-simmons,BIAA,32,14,12,0.49059951469841445,30,30,30,0,1958-59,Bill Scott (14-12),1958
hardin-simmons,BIAA,33,11,14,0.7697889782122979,30,30,30,0,1957-58,Bill Scott (11-14),1957
hardin-simmons,BIAA,34,17,9,0.3501315121782794,30,30,30,1,1956-57,Bill Scott (17-9),1956
hardin-simmons,BIAA,35,7,18,0.4183466569637504,30,30,30,0,1955-56,Bill Scott (7-18),1955
hardin-simmons,BIAA,36,9,15,0.3990166161959554,30,30,30,0,1954-55,Bill Scott (9-15),1954
hardin-simmons,BIAA,37,7,17,0.9092556607180597,30,30,30,0,1953-54,Bill Scott (7-17),1953
hardin-simmons,BIAA,38,19,12,0.7868720402148951,30,30,30,1,1952-53,Bill Scott (19-12),1952
hardin-simmons,BIAA,39,17,15,0.8318668825879403,30,30,30,0,1951-52,Bill Scott (17-15),1951
hardin-simmons,BIAA,40,13,15,0.8021703960155793,30,30,30,0,1950-51,Jack Martin (13-15),1950
hardin-simmons,BIAA,41,15,10,0.6081085905884894,30,30,30,0,1949-50-nm,Jack Martin (15-10),1949
hardin-simmons,BIAA,42,13,15,0.42208777526213237,30,30,30,0,1948-49-nm,Jack Martin (13-15),1948
hardin-simmons,BIAA,43,6,10,0.3366949582339819,30,30,30,0,1947-48-nm,Wesley Bradshaw (6-10),1947
hardin-simmons,BIAA,44,8,21,0.5025397016873018,30,30,30,0,1946-47,Wesley Bradshaw (8-21),1946
hardin-simmons,BIAA,45,2,10,0.47051381665414593,30,30,30,0,1945-46,Wesley Bradshaw (2-10),1945
hardin-simmons,BIAA,46,7,23,0.44677535157458437,30,30,30,0,1944-45,Unknown,1944
hardin-simmons,BIAA,47,1,9,0.08979461762219276,30,30,30,0,1942-43,Clark Jarnigan (1-9),1942
hardin-simmons,BIAA,48,6,10,0.2996607468251934,30,30,30,0,1941-42,Unknown,1941
hardin-simmons,Ind,49,13,1,0.7692495173809878,30,30,30,0,1936-37-nm,Frank Kimbrough (13-1),1936
hardin-simmons,Ind,50,13,1,0.4928436398886591,30,30,30,0,1922-23,Unknown,1922
hartford,AEC,1,9,23,0.08999228952175875,30,30,30,0,2016-17,John Gallagher (9-23),2016
hartford,AEC,2,10,23,0.6070937710193071,30,30,30,0,2015-16,John Gallagher (10-23),2015
hartford,AEC,3,14,16,0.22044000518107731,30,30,30,0,2014-15,John Gallagher (14-16),2014
hartford,AEC,4,17,16,0.8074627138704278,30,30,30,0,2013-14,John Gallagher (17-16),2013
hartford,AEC,5,17,14,0.8856392459090209,30,30,30,0,2012-13,John Gallagher (17-14),2012
hartford,AEC,6,9,22,0.817008413720884,30,30,30,0,2011-12,John Gallagher (9-22),2011
hartford,AEC,7,11,20,0.7351118325387134,30,30,30,0,2010-11,John Gallagher (11-20),2010
hartford,AEC,8,8,22,0.08311890146365974,30,30,30,0,2009-10,Dan Leibovitz (8-22),2009
hartford,AEC,9,7,26,0.32079848698936597,30,30,30,0,2008-09,Dan Leibovitz (7-26),2008
hartford,AEC,10,18,16,0.3578168354057415,30,30,30,0,2007-08,Dan Leibovitz (18-16),2007
hartford,AEC,11,13,18,0.9338063104946633,30,30,30,0,2006-07,Dan Leibovitz (13-18),2006
hartford,AEC,12,13,15,0.5528229110852864,30,30,30,0,2005-06,Larry Harrison (13-15),2005
hartford,AEC,13,8,20,0.17325045485410218,30,30,30,0,2004-05,Larry Harrison (8-20),2004
hartford,AEC,14,12,17,0.4440647264287433,30,30,30,0,2003-04,Larry Harrison (12-17),2003
hartford,AEC,15,16,13,0.00722113941866942,30,30,30,0,2002-03,Larry Harrison (16-13),2002
hartford,AEC,16,14,18,0.5740258431351634,30,30,30,0,2001-02,Larry Harrison (14-18),2001
hartford,AEC,17,4,24,0.09590540484562082,30,30,30,0,2000-01,Larry Harrison (4-24),2000
hartford,AEC,18,10,19,0.5333788506602446,30,30,30,0,1999-00,Paul Brazeau (10-19),1999
hartford,AEC,19,11,16,0.5443812820349323,30,30,30,0,1998-99,Paul Brazeau (11-16),1998
hartford,AEC,20,15,12,0.29184239485460217,30,30,30,0,1997-98,Paul Brazeau (15-12),1997
hartford,AEC,21,17,11,0.6364257694432358,30,30,30,0,1996-97,Paul Brazeau (17-11),1996
hartford,NAC,22,6,22,0.44728331486842954,30,30,30,0,1995-96,Paul Brazeau (6-22),1995
hartford,NAC,23,11,16,0.516106641800929,30,30,30,0,1994-95,Paul Brazeau (11-16),1994
hartford,NAC,24,16,12,0.07440837468897388,30,30,30,0,1993-94,Paul Brazeau (16-12),1993
hartford,NAC,25,14,14,0.9066200703832195,30,30,30,0,1992-93,Paul Brazeau (14-14),1992
hartford,NAC,26,6,21,0.7439353640525268,30,30,30,0,1991-92,Jack Phelan (6-21),1991
hartford,NAC,27,13,16,0.6959963034850982,30,30,30,0,1990-91,Jack Phelan (13-16),1990
hartford,NAC,28,17,11,0.8961976171369727,30,30,30,0,1989-90,Jack Phelan (17-11),1989
hartford,NAC,29,15,13,0.3841904316702106,30,30,30,0,1988-89,Jack Phelan (15-13),1988
hartford,ECACN,30,15,16,0.8945652573411588,30,30,30,0,1987-88,Jack Phelan (15-16),1987
hartford,ECACN,31,14,14,0.07255709997278292,30,30,30,0,1986-87,Jack Phelan (14-14),1986
hartford,ECACN,32,12,16,0.09317300286001429,30,30,30,0,1985-86,Jack Phelan (12-16),1985
hartford,ECACN,33,7,21,0.7027039178732744,30,30,30,0,1984-85,Jack Phelan (7-21),1984
harvard,Ivy,1,18,10,0.2135284803237345,30,30,30,0,2016-17,Tommy Amaker (18-10),2016
harvard,Ivy,2,14,16,0.6232960087574766,30,30,30,0,2015-16,Tommy Amaker (14-16),2015
harvard,Ivy,3,22,8,0.022697827016440852,25,25,30,2,2014-15,Tommy Amaker (22-8),2014
harvard,Ivy,4,27,5,0.4756656084449614,30,30,30,4,2013-14,Tommy Amaker (27-5),2013
harvard,Ivy,5,20,10,0.715161563153361,30,30,30,4,2012-13,Tommy Amaker (20-10),2012
harvard,Ivy,6,26,5,0.10431777607413484,30,22,30,2,2011-12,Tommy Amaker (26-5),2011
harvard,Ivy,7,23,7,0.9024702001727857,30,30,30,0,2010-11,Tommy Amaker (23-7),2010
harvard,Ivy,8,21,8,0.1296780960764764,30,30,30,0,2009-10,Tommy Amaker (21-8),2009
harvard,Ivy,9,14,14,0.09363937044167003,30,30,30,0,2008-09,Tommy Amaker (14-14),2008
harvard,Ivy,10,8,22,0.48767726429912905,30,30,30,0,2007-08,Tommy Amaker (8-22),2007
harvard,Ivy,11,12,16,0.9922964372190254,30,30,30,0,2006-07,Frank Sullivan (12-16),2006
harvard,Ivy,12,13,14,0.8324164024601932,30,30,30,0,2005-06,Frank Sullivan (13-14),2005
harvard,Ivy,13,12,15,0.30412500375120677,30,30,30,0,2004-05,Frank Sullivan (12-15),2004
harvard,Ivy,14,4,23,0.24444744980756994,30,30,30,0,2003-04,Frank Sullivan (4-23),2003
harvard,Ivy,15,12,15,0.11048768310100643,30,30,30,0,2002-03,Frank Sullivan (12-15),2002
harvard,Ivy,16,14,12,0.055726435248060646,30,30,30,0,2001-02,Frank Sullivan (14-12),2001
harvard,Ivy,17,14,12,0.1253471117853624,30,30,30,0,2000-01,Frank Sullivan (14-12),2000
harvard,Ivy,18,12,15,0.6832802421824864,30,30,30,0,1999-00,Frank Sullivan (12-15),1999
harvard,Ivy,19,13,13,0.9212563671650127,30,30,30,0,1998-99,Frank Sullivan (13-13),1998
harvard,Ivy,20,13,13,0.8799284703505521,30,30,30,0,1997-98,Frank Sullivan (13-13),1997
harvard,Ivy,21,17,9,0.603550857402216,30,30,30,0,1996-97,Frank Sullivan (17-9),1996
harvard,Ivy,22,15,11,0.7940755215070636,30,30,30,0,1995-96,Frank Sullivan (15-11),1995
harvard,Ivy,23,6,20,0.40852909136066984,30,30,30,0,1994-95,Frank Sullivan (6-20),1994
harvard,Ivy,24,9,17,0.7162372806534709,30,30,30,0,1993-94,Frank Sullivan (9-17),1993
harvard,Ivy,25,6,20,0.7283636606575602,30,30,30,0,1992-93,Frank Sullivan (6-20),1992
harvard,Ivy,26,6,20,0.33035296239405076,30,30,30,0,1991-92,Frank Sullivan (6-20),1991
harvard,Ivy,27,9,17,0.6453402571811655,30,30,30,0,1990-91,Peter Roby (9-17),1990
harvard,Ivy,28,12,14,0.2148503365239377,30,30,30,0,1989-90,Peter Roby (12-14),1989
harvard,Ivy,29,11,15,0.6870653789231996,30,30,30,0,1988-89,Peter Roby (11-15),1988
harvard,Ivy,30,11,15,0.26832253017105057,30,30,30,0,1987-88,Peter Roby (11-15),1987
harvard,Ivy,31,9,17,0.04074001837411989,30,30,30,0,1986-87,Peter Roby (9-17),1986
harvard,Ivy,32,6,20,0.6803879284915202,30,30,30,0,1985-86,Peter Roby (6-20),1985
harvard,Ivy,33,15,9,0.126153184383078,30,30,30,0,1984-85,Frank McLaughlin (15-9),1984
harvard,Ivy,34,15,11,0.6806252785605518,30,30,30,0,1983-84,Frank McLaughlin (15-11),1983
harvard,Ivy,35,12,14,0.8863015386056322,30,30,30,0,1982-83,Frank McLaughlin (12-14),1982
harvard,Ivy,36,11,15,0.15301232663938202,30,30,30,0,1981-82,Frank McLaughlin (11-15),1981
harvard,Ivy,37,16,10,0.004621288267720347,30,30,30,0,1980-81,Frank McLaughlin (16-10),1980
harvard,Ivy,38,11,15,0.27368540281959164,30,30,30,0,1979-80,Frank McLaughlin (11-15),1979
